coordinator_1  | 2024-02-27 10:25:15,077.077 WARNING:   Worker: 3 | Completed snapshot: 11 | started at: 1709029515054.1594 | ended at: 1709029515075.7666 | took: 21.607177734375ms
coordinator_1  | 2024-02-27 10:25:15,078.078 WARNING:   Worker: 4 | Completed snapshot: 11 | started at: 1709029515053.965 | ended at: 1709029515075.6167 | took: 21.651611328125ms
coordinator_1  | 2024-02-27 10:25:16,083.083 WARNING:   Worker: 3 | Completed snapshot: 12 | started at: 1709029516060.106 | ended at: 1709029516081.6904 | took: 21.58447265625ms
coordinator_1  | 2024-02-27 10:25:16,083.083 WARNING:   Worker: 1 | Completed snapshot: 12 | started at: 1709029516060.167 | ended at: 1709029516081.8557 | took: 21.688720703125ms
coordinator_1  | 2024-02-27 10:25:16,083.083 WARNING:   Worker: 4 | Completed snapshot: 12 | started at: 1709029516060.1553 | ended at: 1709029516081.8123 | took: 21.656982421875ms
coordinator_1  | 2024-02-27 10:25:16,083.083 WARNING:   Worker: 2 | Completed snapshot: 12 | started at: 1709029516060.43 | ended at: 1709029516082.2695 | took: 21.839599609375ms
coordinator_1  | 2024-02-27 10:25:17,083.083 WARNING:   Worker: 3 | Completed snapshot: 13 | started at: 1709029517061.486 | ended at: 1709029517081.9216 | took: 20.435546875ms
coordinator_1  | 2024-02-27 10:25:17,084.084 WARNING:   Worker: 1 | Completed snapshot: 13 | started at: 1709029517061.6125 | ended at: 1709029517081.9216 | took: 20.30908203125ms
coordinator_1  | 2024-02-27 10:25:17,084.084 WARNING:   Worker: 4 | Completed snapshot: 13 | started at: 1709029517061.7197 | ended at: 1709029517082.1091 | took: 20.389404296875ms
coordinator_1  | 2024-02-27 10:25:17,084.084 WARNING:   Worker: 2 | Completed snapshot: 13 | started at: 1709029517061.5046 | ended at: 1709029517081.8086 | took: 20.303955078125ms
coordinator_1  | 2024-02-27 10:25:18,085.085 WARNING:   Worker: 4 | Completed snapshot: 14 | started at: 1709029518062.7534 | ended at: 1709029518084.189 | took: 21.435546875ms
coordinator_1  | 2024-02-27 10:25:18,086.086 WARNING:   Worker: 1 | Completed snapshot: 14 | started at: 1709029518062.6475 | ended at: 1709029518084.1853 | took: 21.537841796875ms
coordinator_1  | 2024-02-27 10:25:18,086.086 WARNING:   Worker: 3 | Completed snapshot: 14 | started at: 1709029518062.8813 | ended at: 1709029518084.5576 | took: 21.67626953125ms
coordinator_1  | 2024-02-27 10:25:18,086.086 WARNING:   Worker: 2 | Completed snapshot: 14 | started at: 1709029518062.6807 | ended at: 1709029518084.6533 | took: 21.97265625ms
coordinator_1  | 2024-02-27 10:25:19,088.088 WARNING:   Worker: 2 | Completed snapshot: 15 | started at: 1709029519066.936 | ended at: 1709029519086.3062 | took: 19.3701171875ms
coordinator_1  | 2024-02-27 10:25:19,088.088 WARNING:   Worker: 4 | Completed snapshot: 15 | started at: 1709029519066.8354 | ended at: 1709029519086.0925 | took: 19.257080078125ms
coordinator_1  | 2024-02-27 10:25:19,088.088 WARNING:   Worker: 1 | Completed snapshot: 15 | started at: 1709029519066.849 | ended at: 1709029519086.0588 | took: 19.209716796875ms
