coordinator_1  | 2023-03-31T10:01:33.200164+00:00.200 WARNING:  Worker: 4 | Completed snapshot: 16 | started at: 1680256891151.6108 | ended at: 1680256893198.483 | took: 2046.8720703125ms
coordinator_1  | 2023-03-31T10:01:33.205807+00:00.205 WARNING:  Worker: 1 | Completed snapshot: 16 | started at: 1680256891151.6152 | ended at: 1680256893204.5896 | took: 2052.974365234375ms
coordinator_1  | 2023-03-31T10:01:33.276393+00:00.276 WARNING:  Worker: 2 | Completed snapshot: 16 | started at: 1680256891151.606 | ended at: 1680256893275.1687 | took: 2123.562744140625ms
coordinator_1  | 2023-03-31T10:01:39.293511+00:00.293 WARNING:  Worker: 3 | Completed snapshot: 17 | started at: 1680256897439.5935 | ended at: 1680256899292.3716 | took: 1852.778076171875ms
coordinator_1  | 2023-03-31T10:01:39.435014+00:00.435 WARNING:  Worker: 4 | Completed snapshot: 17 | started at: 1680256897439.48 | ended at: 1680256899412.828 | took: 1973.347900390625ms
coordinator_1  | 2023-03-31T10:01:39.435648+00:00.435 WARNING:  Worker: 1 | Completed snapshot: 17 | started at: 1680256897439.3086 | ended at: 1680256899415.549 | took: 1976.240478515625ms
coordinator_1  | 2023-03-31T10:01:39.455709+00:00.455 WARNING:  Worker: 2 | Completed snapshot: 17 | started at: 1680256897439.5706 | ended at: 1680256899454.3582 | took: 2014.78759765625ms
coordinator_1  | 2023-03-31T10:01:46.573892+00:00.573 WARNING:  Worker: 4 | Completed snapshot: 18 | started at: 1680256904558.8628 | ended at: 1680256906572.6055 | took: 2013.74267578125ms
coordinator_1  | 2023-03-31T10:01:46.590351+00:00.590 WARNING:  Worker: 3 | Completed snapshot: 18 | started at: 1680256904558.7551 | ended at: 1680256906589.3118 | took: 2030.556640625ms
coordinator_1  | 2023-03-31T10:01:46.659049+00:00.659 WARNING:  Worker: 2 | Completed snapshot: 18 | started at: 1680256904558.6013 | ended at: 1680256906657.7346 | took: 2099.13330078125ms
coordinator_1  | 2023-03-31T10:01:46.875844+00:00.875 WARNING:  Worker: 1 | Completed snapshot: 18 | started at: 1680256904558.7493 | ended at: 1680256906874.8489 | took: 2316.099609375ms
coordinator_1  | 2023-03-31T10:01:54.208243+00:00.208 WARNING:  Worker: 4 | Completed snapshot: 19 | started at: 1680256912382.8413 | ended at: 1680256914207.2424 | took: 1824.401123046875ms
coordinator_1  | 2023-03-31T10:01:54.377706+00:00.377 WARNING:  Worker: 1 | Completed snapshot: 19 | started at: 1680256912382.8032 | ended at: 1680256914376.5093 | took: 1993.7060546875ms
coordinator_1  | 2023-03-31T10:01:54.378490+00:00.378 WARNING:  Worker: 2 | Completed snapshot: 19 | started at: 1680256912382.9292 | ended at: 1680256914377.412 | took: 1994.48291015625ms
coordinator_1  | 2023-03-31T10:01:54.413885+00:00.413 WARNING:  Worker: 3 | Completed snapshot: 19 | started at: 1680256912382.8516 | ended at: 1680256914412.8123 | took: 2029.960693359375ms
coordinator_1  | 2023-03-31T10:02:03.006674+00:00.006 WARNING:  Worker: 4 | Completed snapshot: 20 | started at: 1680256921015.764 | ended at: 1680256923005.5305 | took: 1989.7666015625ms
coordinator_1  | 2023-03-31T10:02:03.037750+00:00.037 WARNING:  Worker: 2 | Completed snapshot: 20 | started at: 1680256921015.7297 | ended at: 1680256923036.6467 | took: 2020.9169921875ms
coordinator_1  | 2023-03-31T10:02:03.235358+00:00.235 WARNING:  Worker: 1 | Completed snapshot: 20 | started at: 1680256921015.7815 | ended at: 1680256923201.004 | took: 2185.222412109375ms
coordinator_1  | 2023-03-31T10:02:03.478731+00:00.478 WARNING:  Worker: 3 | Completed snapshot: 20 | started at: 1680256921015.7827 | ended at: 1680256923477.77 | took: 2461.9873046875ms
coordinator_1  | 2023-03-31T10:02:12.376575+00:00.376 WARNING:  Worker: 2 | Completed snapshot: 21 | started at: 1680256930149.6497 | ended at: 1680256932375.3855 | took: 2225.73583984375ms
coordinator_1  | 2023-03-31T10:02:12.376806+00:00.376 WARNING:  Worker: 3 | Completed snapshot: 21 | started at: 1680256930149.5715 | ended at: 1680256932375.484 | took: 2225.912353515625ms
coordinator_1  | 2023-03-31T10:02:12.398005+00:00.398 WARNING:  Worker: 1 | Completed snapshot: 21 | started at: 1680256930149.609 | ended at: 1680256932396.5486 | took: 2246.939697265625ms
coordinator_1  | 2023-03-31T10:02:12.451642+00:00.451 WARNING:  Worker: 4 | Completed snapshot: 21 | started at: 1680256930149.7556 | ended at: 1680256932450.5828 | took: 2300.8271484375ms
coordinator_1  | 2023-03-31T10:02:19.397835+00:00.397 WARNING:  Worker: 2 | Completed snapshot: 22 | started at: 1680256937468.928 | ended at: 1680256939396.6135 | took: 1927.685546875ms
coordinator_1  | 2023-03-31T10:02:19.454042+00:00.454 WARNING:  Worker: 4 | Completed snapshot: 22 | started at: 1680256937468.7915 | ended at: 1680256939452.409 | took: 1983.617431640625ms
coordinator_1  | 2023-03-31T10:02:19.502992+00:00.502 WARNING:  Worker: 1 | Completed snapshot: 22 | started at: 1680256937468.8162 | ended at: 1680256939502.0671 | took: 2033.2509765625ms
coordinator_1  | 2023-03-31T10:02:19.675120+00:00.675 WARNING:  Worker: 3 | Completed snapshot: 22 | started at: 1680256937468.8032 | ended at: 1680256939674.1409 | took: 2205.337646484375ms
coordinator_1  | 2023-03-31T10:02:26.013014+00:00.013 WARNING:  Worker: 4 | Completed snapshot: 23 | started at: 1680256944096.613 | ended at: 1680256946011.9744 | took: 1915.361328125ms
coordinator_1  | 2023-03-31T10:02:26.057356+00:00.057 WARNING:  Worker: 3 | Completed snapshot: 23 | started at: 1680256944096.5664 | ended at: 1680256946055.698 | took: 1959.131591796875ms
coordinator_1  | 2023-03-31T10:02:26.174533+00:00.174 WARNING:  Worker: 2 | Completed snapshot: 23 | started at: 1680256944096.4546 | ended at: 1680256946173.3906 | took: 2076.93603515625ms
coordinator_1  | 2023-03-31T10:02:26.366462+00:00.366 WARNING:  Worker: 1 | Completed snapshot: 23 | started at: 1680256944096.6958 | ended at: 1680256946365.0798 | took: 2268.384033203125ms
coordinator_1  | 2023-03-31T10:02:32.183344+00:00.183 WARNING:  Worker: 1 | Completed snapshot: 24 | started at: 1680256950293.7056 | ended at: 1680256952182.3965 | took: 1888.69091796875ms
coordinator_1  | 2023-03-31T10:02:32.183505+00:00.183 WARNING:  Worker: 2 | Completed snapshot: 24 | started at: 1680256950293.724 | ended at: 1680256952182.171 | took: 1888.44677734375ms
coordinator_1  | 2023-03-31T10:02:32.273053+00:00.273 WARNING:  Worker: 3 | Completed snapshot: 24 | started at: 1680256950293.7512 | ended at: 1680256952272.0408 | took: 1978.28955078125ms
coordinator_1  | 2023-03-31T10:02:32.292906+00:00.292 WARNING:  Worker: 4 | Completed snapshot: 24 | started at: 1680256950293.6323 | ended at: 1680256952291.668 | took: 1998.03564453125ms
coordinator_1  | 2023-03-31T10:02:37.782860+00:00.782 WARNING:  Worker: 4 | Completed snapshot: 25 | started at: 1680256955931.4387 | ended at: 1680256957781.8228 | took: 1850.384033203125ms
coordinator_1  | 2023-03-31T10:02:37.803257+00:00.803 WARNING:  Worker: 3 | Completed snapshot: 25 | started at: 1680256955931.605 | ended at: 1680256957802.2717 | took: 1870.666748046875ms
coordinator_1  | 2023-03-31T10:02:37.835999+00:00.835 WARNING:  Worker: 2 | Completed snapshot: 25 | started at: 1680256955931.5532 | ended at: 1680256957835.0408 | took: 1903.487548828125ms
coordinator_1  | 2023-03-31T10:02:37.907952+00:00.907 WARNING:  Worker: 1 | Completed snapshot: 25 | started at: 1680256955931.5962 | ended at: 1680256957906.918 | took: 1975.32177734375ms
